source,target,value
Open Arsenale,landscape,2
Open Studio Venice,landscape,6
Photography Exhibition,landscape,5
Rialto Market Events,landscape,2
Venice Artist Residencies,landscape,3
Venice Fashion Week,landscape,4
Venice Glass Week,landscape,4
Architecture Biennale,canal_network,3
Art Biennale,canal_network,6
Carnival,canal_network,3
Jewish Venice Festival,canal_network,17
Marathon,canal_network,4
Open Arsenale,canal_network,1
Open Studio Venice,canal_network,2
Photography Exhibition,canal_network,2
Rialto Market Events,canal_network,1
Venice Artist Residencies,canal_network,8
Venice Fashion Week,canal_network,3
Venice Glass Week,canal_network,1
Blessing of the Gondolas,canal_network,1
Architecture Biennale,sustainability,11
Art Biennale,sustainability,2
Carnival,sustainability,2
Marathon,sustainability,1
Photography Exhibition,sustainability,2
Rialto Market Events,sustainability,1
Venice Artist Residencies,sustainability,1
Venice Fashion Week,sustainability,6
Venice Glass Week,sustainability,2
Vogalonga,resilience,1
Giants of the Lagoon,resilience,1
Architecture Biennale,resilience,4
Art Biennale,resilience,2
Photography Exhibition,resilience,2
Rialto Market Events,resilience,1
Venice Artist Residencies,resilience,3
Venice Fashion Week,resilience,2
Venice Glass Week,resilience,1
Vogalonga,public_space_ownership,1
Architecture Biennale,public_space_ownership,4
Carnival,public_space_ownership,1
Open Arsenale,public_space_ownership,1
Open Studio Venice,public_space_ownership,1
Venice Fashion Week,public_space_ownership,7
Venice Glass Week,public_space_ownership,1
Festa del Redentore,public_space_ownership,1
Open Studio Venice,immigration,6
Rialto Market Events,immigration,1
Venice Artist Residencies,immigration,1
Venice Glass Week,immigration,3
Festa della Sensa,civic_identity,1
Art Biennale,civic_identity,2
Carnival,civic_identity,1
Open Studio Venice,civic_identity,1
Venice Artist Residencies,civic_identity,1
Venice Fashion Week,civic_identity,1
Venice Glass Week,civic_identity,1
Feast of St. George,civic_identity,1
Architecture Biennale,governance,1
Carnival,governance,1
Open Studio Venice,governance,4
Rialto Market Events,governance,1
Venice Artist Residencies,governance,2
Venice Fashion Week,governance,1
Venice Glass Week,governance,1
MOSE Open Day,governance,1
Architecture Biennale,community_displacement,2
Art Biennale,community_displacement,1
Carnival,community_displacement,3
Venice Artist Residencies,community_displacement,1
Art Biennale,cultural_conflict,2
Carnival,cultural_conflict,1
Open Studio Venice,cultural_conflict,1
Photography Exhibition,cultural_conflict,1
Rialto Market Events,cultural_conflict,1
Venice Artist Residencies,cultural_conflict,1
Venice Fashion Week,cultural_conflict,1
Venice Glass Week,cultural_conflict,1
creative_expression,culture,8
heritage,culture,92
ritual,culture,96
performance,culture,83
identity,culture,48
tradition,culture,111
representation,culture,100
symbolism,culture,120
cultural_participation,culture,4
spectatorship,culture,53
carnivalization,culture,1
authenticity,culture,22
tourism,economy,35
global_brands,economy,9
consumption,economy,42
local_business,economy,13
community_economy,economy,2
commercialization,economy,3
creative_industry,economy,12
urban_regeneration,economy,7
infrastructure,economy,17
lagoon,environment,30
flooding,environment,14
climate,environment,20
adaptation,environment,19
landscape,environment,61
canal_network,environment,60
sustainability,environment,35
resilience,environment,21
public_space_ownership,politics,18
immigration,politics,12
civic_identity,politics,12
governance,politics,15
community_displacement,politics,9
cultural_conflict,politics,14
