topic_simple,n_articles,mean_valence,pos_ratio,neg_ratio
cultural_heritage,677,0.015584817136936385,0.023633677991137372,0.0029542097488921715
other,457,0.12139664919684179,0.1925601750547046,0.015317286652078774
event_itself,184,0.0900494767271954,0.1358695652173913,0.0
tourism_mass,41,0.17882394063763501,0.2682926829268293,0.024390243902439025
economic_frame,10,0.32048024535179137,0.5,0.0
